track_name,artists,track_genre,energy,valence
double take,dhruv,chill,0.437,0.209
Again,Shiloh Dynasty;Timmies,chill,0.204,0.71
The Way I Love You,yaeow;Neptune,chill,0.206,0.13
3:00 AM,Finding Hope,chill,0.147,0.0346
Collide (feat. Tyga),Justine Skye;Tyga,chill,0.31,0.131
At My Worst,Pink Sweat$,chill,0.415,0.667
You Broke My Heart Again,Teqkoi;Aiko,chill,0.143,0.224
double take,dhruv,chill,0.436,0.196
moonlight,dhruv,chill,0.501,0.551
Yellow Hearts,Ant Saunders,chill,0.438,0.695
Eternal Youth,RŮDE,chill,0.487,0.0454
tonight,demxntia,chill,0.63,0.4
It Takes Two,Fiji Blue,chill,0.597,0.863
Another Love,Tom Odell,chill,0.537,0.131
woo x I was never there (tiktok version),untrusted;creamy;11:11 Music Group,chill,0.58,0.282
fools (can't help falling in love) (feat. Sody),Foster;Sody;Sarcastic Sounds,chill,0.604,0.361
Losing Interest,itssvd;Shiloh Dynasty,chill,0.355,0.506
At My Worst,Pink Sweat$,chill,0.415,0.667
i got you,Jimmy Brown,chill,0.554,0.598
Losing Interest,Stract;Shiloh Dynasty,chill,0.36,0.639
Collide (Sped Up Remix),Justine Skye;Tyga,chill,0.432,0.256
I Can't Hate You,Kayou.;yaeow,chill,0.438,0.191
colorblind,Mokita,chill,0.776,0.17
Midnight River,Pink Sweat$;6LACK,chill,0.351,0.234
With You,Mokita,chill,0.607,0.356
London,Mokita,chill,0.512,0.466
Lonely City,Mokita,chill,0.37,0.305
Real Thing,Pink Sweat$;Tori Kelly,chill,0.322,0.256
Better,Pink Sweat$;Kirby,chill,0.471,0.406
Coming for You (feat. A1 x J1),SwitchOTR;A1 x J1,chill,0.481,0.842
I don't see nobody but you,Yusei,chill,0.355,0.332
Nothing Feels Better,Pink Sweat$,chill,0.395,0.558
Feels Like You,Faime,chill,0.352,0.571
beside you,keshi,chill,0.747,0.852
Midnight River,Pink Sweat$;6LACK,chill,0.351,0.234
I Feel Good,Pink Sweat$,chill,0.75,0.628
drunk,keshi,chill,0.389,0.306
Midnight River,Pink Sweat$;6LACK,chill,0.351,0.234
I Feel Good,Pink Sweat$,chill,0.75,0.628
I Feel Good,Pink Sweat$,chill,0.75,0.628
I Feel Good,Pink Sweat$,chill,0.75,0.628
right here,keshi,chill,0.496,0.319
Nothing Feels Better,Pink Sweat$,chill,0.395,0.558
At My Worst,Pink Sweat$,chill,0.415,0.667
I Feel Good,Pink Sweat$,chill,0.75,0.628
Real Thing,Pink Sweat$;Tori Kelly,chill,0.322,0.256
